Symbol,Strategy,Interval,TotalTrades,WinRate,TotalReturn,MaxDrawdown,SharpeRatio,ProfitFactor,CandlesUsed,StartDate,EndDate,Parameters
XRPUSDT,"SMA_Crossover(10,50)",1h,109,29.36,-4.93,5.75,-3.47,0.63,4400,2025-07-31,2026-01-31,"{""long_period"":50,""short_period"":10}"
SOLUSDT,Adaptive(21/55),1h,142,34.51,-4.94,6.00,-2.03,0.76,4400,2025-07-31,2026-01-31,null
LINKUSDT,"RSI_Strategy(21,70,30)",1h,56,25.00,-5.10,5.12,-4.60,0.52,4400,2025-07-31,2026-01-31,"{""overbought"":70,""oversold"":30,""period"":21}"
BTCUSDT,"RSI_Strategy(14,70,30)",1h,112,26.79,-5.12,5.13,-4.93,0.51,4400,2025-07-31,2026-01-31,"{""overbought"":70,""oversold"":30,""period"":14}"
XRPUSDT,"SMA_Crossover(5,20)",1h,144,31.94,-5.13,6.03,-2.47,0.71,4400,2025-07-31,2026-01-31,"{""long_period"":20,""short_period"":5}"
ETHUSDT,"SMA_Crossover(10,30)",1h,117,29.91,-5.15,5.88,-3.21,0.65,4400,2025-07-31,2026-01-31,"{""long_period"":30,""short_period"":10}"
SOLUSDT,"SMA_Crossover(10,30)",1h,119,30.25,-5.18,7.20,-2.73,0.69,4400,2025-07-31,2026-01-31,"{""long_period"":30,""short_period"":10}"
BTCUSDT,"RSI_Strategy(7,70,30)",1h,218,35.78,-5.19,5.79,-2.66,0.69,4400,2025-07-31,2026-01-31,"{""overbought"":70,""oversold"":30,""period"":7}"
UNIUSDT,"RSI_Strategy(21,70,30)",1h,46,21.74,-5.23,6.47,-4.51,0.50,4400,2025-07-31,2026-01-31,"{""overbought"":70,""oversold"":30,""period"":21}"
XRPUSDT,"RSI_Strategy(14,70,30)",1h,107,30.84,-5.24,5.82,-3.26,0.64,4400,2025-07-31,2026-01-31,"{""overbought"":70,""oversold"":30,""period"":14}"
ETHUSDT,Confluence_Aggressive,1h,227,35.24,-5.50,8.29,-1.69,0.79,4400,2025-07-31,2026-01-31,"{""min_confluence"":60,""variant"":""Aggressive""}"
BTCUSDT,"RSI_Strategy(14,65,35)",1h,167,31.14,-5.55,5.57,-3.71,0.60,4400,2025-07-31,2026-01-31,"{""overbought"":65,""oversold"":35,""period"":14}"
DOGEUSDT,Confluence_Conservative,1h,77,28.57,-5.63,7.26,-4.14,0.58,4400,2025-07-31,2026-01-31,"{""min_confluence"":80,""variant"":""Conservative""}"
ETHUSDT,"RSI_Strategy(21,70,30)",1h,69,21.74,-5.65,5.65,-5.98,0.45,4400,2025-07-31,2026-01-31,"{""overbought"":70,""oversold"":30,""period"":21}"
UNIUSDT,Adaptive(21/55),1h,105,31.43,-5.70,7.06,-2.29,0.71,4400,2025-07-31,2026-01-31,null
LINKUSDT,"SMA_Crossover(10,50)",1h,108,29.63,-5.85,6.38,-3.17,0.65,4400,2025-07-31,2026-01-31,"{""long_period"":50,""short_period"":10}"
DOTUSDT,Confluence_Default,1h,167,29.94,-6.01,7.98,-1.72,0.76,4400,2025-07-31,2026-01-31,"{""min_confluence"":70,""variant"":""Default""}"
XRPUSDT,"RSI_Strategy(7,70,30)",1h,217,35.02,-6.16,6.73,-1.94,0.77,4400,2025-07-31,2026-01-31,"{""overbought"":70,""oversold"":30,""period"":7}"
UNIUSDT,"RSI_Strategy(14,75,25)",1h,46,19.57,-6.24,7.19,-5.51,0.43,4400,2025-07-31,2026-01-31,"{""overbought"":75,""oversold"":25,""period"":14}"
UNIUSDT,"SMA_Crossover(10,30)",1h,128,28.12,-6.45,7.53,-2.60,0.69,4400,2025-07-31,2026-01-31,"{""long_period"":30,""short_period"":10}"
UNIUSDT,"SMA_Crossover(5,20)",1h,146,33.56,-6.52,10.13,-2.24,0.73,4400,2025-07-31,2026-01-31,"{""long_period"":20,""short_period"":5}"
DOGEUSDT,"SMA_Crossover(5,20)",1h,155,29.68,-6.54,8.69,-2.49,0.72,4400,2025-07-31,2026-01-31,"{""long_period"":20,""short_period"":5}"
BTCUSDT,Confluence_Aggressive,1h,227,34.36,-6.56,6.90,-3.16,0.65,4400,2025-07-31,2026-01-31,"{""min_confluence"":60,""variant"":""Aggressive""}"
XRPUSDT,"RSI_Strategy(14,65,35)",1h,164,31.10,-6.60,6.69,-2.71,0.69,4400,2025-07-31,2026-01-31,"{""overbought"":65,""oversold"":35,""period"":14}"
